泪,0
嘻嘻,1
爱,2
抓狂,3
鼓掌,4
回复,5
怒,6
衰,7
晕,8
说,9
吃,10
太,11
偷笑,12
微博,13
想,14
http,15
cn,16
t,17
北京,18
开心,19
可爱,20
做,21
心,22
中国,23
转发,24
中,25
喜欢,26
汗,27
真,28
赞,29
谢谢,30
真的,31
蜡烛,32
＂,33
朋友,34
里,35
给力,36
请,37
走,38
酒店,39
旅游,40
美食,41
馋嘴,42
威武,43
good,44
围观,45
哈哈哈,46
老师,47
买,48
孩子,49
吃惊,50
―,51
亲亲,52
花心,53
转,54
点,55
时间,56
失望,57
感谢,58
悲伤,59
生活,60
酷,61
希望,62
支持,63
拍,64
幸福,65
新,66
找,67
上海,68
终于,69
明天,70
世界,71
不错,72
可怜,73
快乐,74
死,75
这是,76
期待,77
活动,78
发现,79
感觉,80
笑,81
完,82
关注,83
妈妈,84
抱抱,85
家,86
挖,87
伤心,88
天,89
怒骂,90
晚上,91
同学,92
好吃,93
旅行,94
事,95
话,96
鼻屎,97
回来,98
亲,99
照片,100
小时,101
喝,102
回家,103
蛋糕,104
钱,105
耶,106
滴,107
手机,108
V,109
感动,110
地方,111
餐厅,112
听,113
送,114
号,115
今晚,116
求,117
前,118
工作,119
加油,120
恭喜,121
美,122
咖啡,123
猫,124
思考,125
玩,126
分享,127
东西,128
推荐,129
害羞,130
我要,131
周末,132
哭,133
写,134
特别,135
网,136
超级,137
睡,138
菜,139
兔子,140
官方,141
问,142
店,143
话筒,144
两个,145
张,146
元,147
昨天,148
电影,149
委屈,150
睡觉,151
王,152
懂,153
穿,154
只能,155
牛,156
逼,157
记得,158
高,159
公司,160
味道,161
礼物,162
人生,163
美女,164
男人,165
机会,166
开,167
鄙视,168
女人,169
下次,170
童鞋,171
新浪,172
生病,173
摄影,174
有人,175
哥,176
木有,177
吃货,178
妈,179
节目,180
演员,181
赶紧,182
太阳,183
行,184
心情,185
回,186
帮,187
真心,188
祝,189
好好,190
飞机,191
挺,192
努力,193
女,194
花,195
微,196
美丽,197
喵,198
先,199
成,200
全球,201
参加,202
总,203
告诉,204
不到,205
坐,206
亲们,207
2012,208
李,209
爱心,210
肉,211
吃饭,212
现场,213
相声,214
看着,215
可惜,216
早,217
好像,218
电话,219
永远,220
厦门,221
笑哈哈,222
辛苦,223
路上,224
跑,225
小伙伴,226
围脖,227
实在,228
香港,229
估计,230
国际,231
小姐,232
男,233
住,234
天天,235
姐姐,236
神马,237
阳光,238
奥特曼,239
饿,240
亲爱,241
几天,242
发,243
米,244
一点,245
时尚,246
一种,247
确实,248
一句,249
日本,250
车,251
黑,252
上班,253
早上,254
创意,255
音乐,256
祝福,257
文化,258
美好,259
城市,260
学习,261
几个,262
体验,263
漂亮,264
收到,265
故事,266
姑娘,267
杂志,268
不用,269
哈哈哈哈,270
第一,271
鱼,272
「,273
干,274
第一次,275
搞,276
我家,277
事情,278
不好,279
享受,280
不想,281
天下,282
肯定,283
精彩,284
每次,285
2013,286
宝宝,287
咯,288
免费,289
好多,290
找到,291
熊猫,292
粉丝,293
握手,294
欢乐,295
小编,296
站,297
